company	amt	amtRatio	contracts	contRatio	employees
Syracuse University	-1134.72	0.0018	1	0.002	4696
Virgin Galactic Llc	51923.0	0.0018	1	0.002	20000
Gilbane Building Company	65381.96	0.0018	1	0.002	2000
Chi Systems Incorporated	124681.0	0.0019	1	0.002	30
Photodigm Incorporated	9.0	0.0018	1	0.002	15
Millennium Space Systems Incorporated	8644450.27	0.0082	3	0.0061	35
Exquadrum Incorporated	124996.0	0.0019	1	0.002	20
Ci Systems Incorporated	55224.0	0.0018	3	0.0061	110
Southwest Research Institute	25117363.62	0.0204	56	0.1141	3340
Weather Central, Lp	5869.0	0.0018	1	0.002	111
Hensel Phelps Construction Co	64446000.0	0.0496	1	0.002	2940
Ion Science (americas), Llc	8991.0	0.0018	1	0.002	5
Sysense Incorporated	749958.0	0.0023	1	0.002	8
Intergraph Corporation	14856.0	0.0018	1	0.002	12000
The Calvert Wire And Cable Corporation	11466.25	0.0018	2	0.0041	6900