district	ratio
30	0.088
28	0.0
29	0.0004
35	0.0003
32	0.0018
24	0.0171
25	0.0267
26	0.0228
27	1.0
20	0.0551
21	0.0021
22	0.0013
49	0.0021
46	0.0012
47	0.0007
44	0.0001
45	0.019
42	0.0
43	0.0071
40	0.0002
41	0.0005
1	0.2824
0	0.0722
3	0.35
2	0.4371
5	0.7541
4	0.1424
7	0.2487
6	0.7703
9	0.2053
8	0.1986
39	0.0004
34	0.0137
38	0.0001
11	0.1988
10	0.1995
13	0.0379
12	0.0822
15	0.0076
14	0.0356
17	0.0112
16	0.0075
19	0.0053
18	0.0712
31	0.0066
23	0.0044
37	0.0029
36	0.8877
53	0.0043
52	0.0141
33	0.5027
48	0.0185
50	0.0008